OBJECTID,FEATURETYPE,DESCRIPTION,CLASS,FID,NAME,OPERATIONALSTATUS,LOCALGOVERNMENTAREA_LGA,ADDRESS,SUBURB,STATE,SPATIALCONFIDENCE,REVISED,COMMENT,LATITUDE,LONGITUDE
527,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,527,Shire of Dundas,Operational,Dundas (S),88-92 Prinsep Street,Norseman,Western Australia,5,20150216,,-32.198792,121.779086
528,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,528,Town of East Fremantle,Operational,East Fremantle (T),135 Canning Highway,East Fremantle,Western Australia,5,20150216,,-32.0412029999999,115.763024
529,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,529,Shire of East Pilbara - Newman,Operational,East Pilbara (S),Corner Kalgan Drive and Newman Drive,Newman,Western Australia,5,20150216,,-23.3568519999999,119.737803
530,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,530,Shire of East Pilbara - Marble Bar,Operational,East Pilbara (S),20 Francis Street,Marble Bar,Western Australia,5,20150216,,-21.172836,119.745393
531,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,531,Shire of Esperance,Operational,Esperance (S),Windich Street,Esperance,Western Australia,5,20150216,,-33.8600529999999,121.890175
532,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,532,Shire of Exmouth,Operational,Exmouth (S),22 Maidstone Crescent,Exmouth,Western Australia,5,20150216,,-21.929093,114.123922
533,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,533,City of Fremantle,Operational,Fremantle (C),8 William Street,Fremantle,Western Australia,5,20150216,,-32.0542639999999,115.748092
534,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,534,Shire of Gingin,Operational,Gingin (S),7 Brockman Street,Gingin,Western Australia,5,20150216,,-31.34678,115.904016
535,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,535,Shire of Gnowangerup,Operational,Gnowangerup (S),28 Yougenup Road,Gnowangerup,Western Australia,5,20150216,,-33.936004,118.007271
536,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,536,Shire of Goomalling,Operational,Goomalling (S),32 Quinlan Street,Goomalling,Western Australia,5,20150216,,-31.299751,116.826913
537,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,537,City of Gosnells,Operational,Gosnells (C),2120 Albany Highway,Gosnells,Western Australia,5,20150216,,-32.065375,116.000471
538,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,538,City of Greater Geraldton - Headquarters,Operational,Greater Geraldton (C),63 Cathedral Avenue,Geraldton,Western Australia,5,20150216,,-28.7763409999999,114.611822
539,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,539,City of Greater Geraldton - Office,Operational,Greater Geraldton (C),Corner Thomas Street and Padbury Street,Mullewa,Western Australia,5,20150216,,-28.540363,115.510856
540,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,540,Shire of Halls Creek,Operational,Halls Creek (S),LOT 71 Thomas Street,Halls Creek,Western Australia,5,20150216,,-18.2254799999999,127.667403
541,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,541,Shire of Harvey - Harvey Office,Operational,Harvey (S),102 Uduc Road,Harvey,Western Australia,5,20150216,,-33.0797249999999,115.893261
542,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,542,Shire of Harvey,Operational,Harvey (S),7 Mulgara Street,Australind,Western Australia,5,20150216,,-33.2792729999999,115.716512
543,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,543,Shire of Irwin,Operational,Irwin (S),11-13 Waldeck Street,Dongara,Western Australia,5,20150216,,-29.251809,114.930659
544,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,544,Shire of Jerramungup,Operational,Jerramungup (S),8 Vasey Street,Jerramungup,Western Australia,5,20150216,,-33.9421209999999,118.919287
545,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,545,City of Joondalup,Operational,Joondalup (S),90 Boas Avenue,Joondalup,Western Australia,5,20150216,,-31.744254,115.772449
546,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,546,Shire of Kalamunda,Operational,Kalamunda (S),2 Railway Road,Kalamunda,Western Australia,5,20150216,,-31.9780479999999,116.061277
547,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,547,City of Kalgoorlie-Boulder,Operational,Kalgoorlie-Boulder (C),577 Hannan Street,Kalgoorlie,Western Australia,5,20150216,,-30.763479,121.455878
548,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,548,City of Karratha,Operational,Karratha (C),LOT 1083 Welcome Road,Karratha,Western Australia,5,20150216,,-20.737002,116.847831
549,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,549,Shire of Katanning,Operational,Katanning (S),16-24 Austral Terrace,Katanning,Western Australia,5,20150216,,-33.690344,117.554232
550,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,550,Shire of Kellerberrin,Operational,Kellerberrin (S),110 Massingham Street,Kellerberrin,Western Australia,5,20150216,,-31.6336689999999,117.722062
551,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,551,Shire of Kent,Operational,Kent (S),24-26 Richmond Street,Nyabing,Western Australia,5,20150216,,-33.541345,118.149782
552,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,552,Shire of Kojonup,Operational,Kojonup (S),93-95 Albany Highway,Kojonup,Western Australia,5,20150216,,-33.8322219999999,117.159273
553,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,553,Shire of Kondinin - Kondinin,Operational,Kondinin (S),11 Gordon Street,Kondinin,Western Australia,5,20150216,,-32.495445,118.266908
554,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,554,Shire of Kondinin - Hyden,Operational,Kondinin (S),12 McPherson Street,Hyden,Western Australia,3,20150216,,-32.448911,118.863024
555,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,555,Shire of Koorda,Operational,Koorda (S),Corner Allenby Street and Haig Street,Koorda,Western Australia,3,20150216,,-30.824555,117.484005
556,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,556,Shire of Kulin,Operational,Kulin (S),24 Johnston Street,Kulin,Western Australia,5,20150216,,-32.671929,118.153984
557,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,557,City of Kwinana,Operational,Kwinana (C),Corner Gilmore Avenue and Sulphur Road,Kwinana,Western Australia,5,20150216,,-32.24078,115.813361
558,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,558,Shire of Lake Grace,Operational,Lake Grace (S),1 Bishop Street,Lake Grace,Western Australia,5,20150216,,-33.101192,118.458032
559,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,559,Shire of Laverton,Operational,Laverton (S),9 Macpherson Place,Laverton,Western Australia,3,20150216,,-28.6273179999999,122.403927
560,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,560,Shire of Leonora,Operational,Leonora (S),16 Tower Street,Leonora,Western Australia,2,20150216,,-28.8884459999999,121.330271
561,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,561,City of Mandurah,Operational,Mandurah (C),3 Peel Street,Mandurah,Western Australia,5,20150216,,-32.5268349999999,115.721224
562,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,562,Shire of Manjimup,Operational,Manjimup (S),37-39 Rose Street,Manjimup,Western Australia,5,20150216,,-34.240876,116.144911
563,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,563,Shire of Meekatharra,Operational,Meekatharra (S),Main Street,Meekatharra,Western Australia,3,20150216,,-26.5929229999999,118.495636
564,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,564,City of Melville,Operational,Melville (C),10 Almondbury Road,Booragoon,Western Australia,5,20150216,,-32.032656,115.832922
565,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,565,Shire of Menzies,Operational,Menzies (S),124 Shenton Street,Menzies,Western Australia,5,20150216,,-29.6944779999999,121.029187
566,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,566,Shire of Merredin,Operational,Merredin (S),Corner King Street and Barrack Street,Merredin,Western Australia,5,20150216,,-31.480899,118.272544
567,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,567,Shire of Mingenew,Operational,Mingenew (S),22 Victoria Street,Mingenew,Western Australia,5,20150216,,-29.1924309999999,115.441757
568,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,568,Shire of Moora,Operational,Moora (S),34 Padbury Street,Moora,Western Australia,5,20150216,,-30.641561,116.007807
569,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,569,Shire of Morowa,Operational,Morawa (S),LOT 66 Winfield Street,Morawa,Western Australia,5,20150216,,-29.210744,116.007764
570,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,570,Town of Mosman Park,Operational,Mosman Park (T),Corner Bay View Terrace and Memorial Drive,Mosman Park,Western Australia,5,20150216,,-32.007737,115.768139
571,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,571,Shire of Mount Magnet,Operational,Mount Magnet (S),LOT 163 Hepburn Street,Mount Magnet,Western Australia,5,20150216,,-28.06253,117.849478
572,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,572,Shire of Mt Marshall,Operational,Mount Marshall (S),71 Monger Street,Bencubbin,Western Australia,5,20150216,,-30.811883,117.862244
573,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,573,Shire of Mukinbudin,Operational,Mukinbudin (S),15 Maddock Street,Mukinbudin,Western Australia,3,20150216,,-30.916051,118.207495
574,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,574,Shire of Mundaring,Operational,Mundaring (S),7000 Great Eastern Highway,Mundaring,Western Australia,5,20150216,,-31.90232,116.163425
575,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,575,Shire of Murchison,Operational,Murchison (S),114 Carnarvon Mullewa Road,Murchison,Western Australia,1,20150216,,-26.590683,115.922597
576,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,576,Shire of Murray,Operational,Murray (S),1915 Pinjarra Road,Pinjarra,Western Australia,5,20150216,,-32.628056,115.872159
577,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,577,Shire of Nannup,Operational,Nannup (S),15 Adam Street,Nannup,Western Australia,5,20150216,,-33.979456,115.765045
578,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,578,Shire of Narembeen,Operational,Narembeen (S),1 Longhurst Street,Narembeen,Western Australia,5,20150216,,-32.0668209999999,118.394248
579,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,579,Shire of Narrogin,Operational,Narrogin (S),43 Federal Street,Narrogin,Western Australia,5,20150216,,-32.933704,117.178869
580,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,580,Town of Narrogin,Operational,Narrogin (T),89 Earl Street,Narrogin,Western Australia,5,20150216,,-32.935304,117.176396
581,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,581,City of Nedlands,Operational,Nedlands (C),71 Stirling Highway,Nedlands,Western Australia,5,20150216,,-31.978376,115.806137
582,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,582,Shire of Ngaanyatjarraku,Operational,Ngaanyatjarraku (S),Great Central Road,Warburton Aboriginal Community,Western Australia,1,20150216,,-26.134961,126.579155
583,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,583,Shire of Northam,Operational,Northam (S),395 Fitzgerald Street,Northam,Western Australia,5,20150216,,-31.6603079999999,116.664188
584,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,584,Shire of Northampton,Operational,Northampton (S),199 Hampton Road,Northampton,Western Australia,5,20150216,,-28.35167,114.630097
585,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,585,Shire of Peppermint Grove,Operational,Peppermint Grove (S),1 Leake Street,Peppermint Grove,Western Australia,3,20150216,,-31.997583,115.76367
586,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,586,Shire of Perenjori,Operational,Perenjori (S),56 Fowler Street,Perenjori,Western Australia,5,20150216,,-29.4396899999999,116.284778
587,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,587,City of Perth,Operational,Perth (C),27 St Georges Terrace,Perth,Western Australia,5,20150216,,-31.9565959999999,115.860814
588,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,588,Shire of Pingelly,Operational,Pingelly (S),17 Queen Street,Pingelly,Western Australia,5,20150216,,-32.533136,117.08238
589,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,589,Shire of Plantagenet,Operational,Plantagenet (S),Lowood Road,Mount Magnet,Western Australia,1,20150216,,-34.6594279999999,117.894752
590,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,590,Town of Port Hedland,Operational,Port Hedland (T),McGregor Street,Port Hedland,Western Australia,3,20150216,,-20.30801,118.613919
591,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,591,Shire of Quairading,Operational,Quairading (S),10 Jennaberring Road,Quairading,Western Australia,5,20150216,,-32.009556,117.402348
592,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,592,Shire of Ravensthorpe,Operational,Ravensthorpe (S),65 Morgans Street,Ravensthorpe,Western Australia,5,20150216,,-33.5814619999999,120.046749
593,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,593,City of Rockingham,Operational,Rockingham (C),Civic Boulevard,Rockingham,Western Australia,3,20150216,,-32.286735,115.746468
594,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,594,Shire of Sandstone,Operational,Sandstone (S),Hack Street,Sandstone,Western Australia,5,20150216,,-27.987158,119.296933
595,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,595,Shire of Serpentine-Jarrahdale,Operational,Serpentine-Jarrahdale (S),6 Paterson Street,Mundijong,Western Australia,5,20150216,,-32.2978219999999,115.984343
596,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,596,Shire of Shark Bay,Operational,Shark Bay (S),65 Knight Terrace,Denham,Western Australia,5,20150216,,-25.928458,113.535413
597,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,597,City of South Perth,Operational,South Perth (C),Corner Sandgate Street and South Terrace,South Perth,Western Australia,5,20150216,,-31.987967,115.866658
598,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,598,City of Stirling,Operational,Stirling (C),25 Cedric Street,Stirling,Western Australia,5,20150216,,-31.889808,115.808853
599,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,599,City of Subiaco,Operational,Subiaco (C),241 Rokeby Road,Subiaco,Western Australia,5,20150216,,-31.9516439999999,115.823413
600,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,600,City of Swan,Operational,Swan (C),2 Midland Square,Midland,Western Australia,5,20150216,,-31.886672,116.003832
601,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,601,Shire of Tammin,Operational,Tammin (S),1 Donnan Street,Tammin,Western Australia,5,20150216,,-31.641382,117.484383
602,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,602,Shire of Three Springs,Operational,Three Springs (S),132 Railway Road,Three Springs,Western Australia,5,20150216,,-29.536149,115.764975
603,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,603,Shire of Toodyay,Operational,Toodyay (S),15 Fiennes Street,Toodyay,Western Australia,5,20150216,,-31.552901,116.466018
604,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,604,Shire of Trayning,Operational,Trayning (S),Railway Street,Trayning,Western Australia,3,20150216,,-31.1143489999999,117.791733
605,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,605,Shire of Upper Gascoyne,Operational,Upper Gascoyne (S),4 Scott Street,Gascoyne Junction,Western Australia,5,20150216,,-25.054345,115.208775
606,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,606,Town of Victoria Park,Operational,Victoria Park (T),99 Shepperton Road,Victoria Park,Western Australia,5,20150216,,-31.9717939999999,115.896343
607,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,607,Shire of Victoria Plains,Operational,Victoria Plains (S),28 Cavell Street,Calingiri,Western Australia,5,20150216,,-31.089057,116.448136
608,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,608,City of Vincent,Operational,Vincent (C),244 Vincent Street,Leederville,Western Australia,5,20150216,,-31.9359259999999,115.845443
609,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,609,Shire of Wagin,Operational,Wagin (S),2 Arthur Road,Wagin,Western Australia,3,20150216,,-33.310578,117.339202
610,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,610,Shire of Wandering,Operational,Wandering (S),22 Watts Street,Wandering,Western Australia,3,20150216,,-32.68134,116.675559
611,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,611,City of Wanneroo,Operational,Wanneroo (C),23 Dundebar Road,Wanneroo,Western Australia,5,20150216,,-31.749969,115.805484
612,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,612,Shire of Waroona,Operational,Waroona (S),52 Hesse Street,Waroona,Western Australia,5,20150216,,-32.8431449999999,115.92346
613,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,613,Shire of West Arthur,Operational,West Arthur (S),31 Burrowes Street,Darkan,Western Australia,5,20150216,,-33.336923,116.741292
614,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,614,Shire of Westonia,Operational,Westonia (S),41 Wolfram Street,Westonia,Western Australia,3,20150216,,-31.302286,118.696681
615,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,615,Shire of Wickepin,Operational,Wickepin (S),77 Wogolin Road,Wickepin,Western Australia,5,20150216,,-32.780999,117.504691
616,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,616,Shire of Williams,Operational,Williams (S),9 Brooking Street,Williams,Western Australia,5,20150216,,-33.0259349999999,116.880777
617,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,617,Shire of Wiluna,Operational,Wiluna (S),Scotia Street,Wiluna,Western Australia,3,20150216,,-26.5971969999999,120.228132
618,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,618,Shire of Wongan-Ballidu,Operational,Wongan-Ballidu (S),Corner Quinlan Street and Elphin Crescent,Wongan Hills,Western Australia,5,20150216,,-30.892536,116.718723
619,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,619,Shire of Woodanilling,Operational,Woodanilling (S),3316 Robinson Road,Woodanilling,Western Australia,4,20150216,,-33.5637199999999,117.432516
620,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,620,Shire of Wyalkatchem,Operational,Wyalkatchem (S),Corner Flint Street and Honour Avenue,Wyalkatchem,Western Australia,4,20150216,,-31.178773,117.38384
621,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,621,Shire of Wyndham-East Kimberley - Kununurra Office,Operational,Wyndham-East Kimberley (S),20 Coolibah Drive,Kununurra,Western Australia,5,20150216,,-15.7764779999999,128.734857
622,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,622,Shire of Wyndham-East Kimberley - Wyndham Office,Operational,Wyndham-East Kimberley (S),Koolama Street,Wyndham,Western Australia,5,20150216,,-15.485803,128.122787
623,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,623,Shire of Yalgoo,Operational,Yalgoo (S),37 Gibbons Street,Yalgoo,Western Australia,5,20150216,,-28.3418149999999,116.682381
624,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,624,Shire of Yilgarn,Operational,Yilgarn (S),23 Antares Street,Yalgarn,Western Australia,5,20150216,,-31.231325,119.328434
625,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,625,Shire of York,Operational,York (S),1 Joaquina Street,York,Western Australia,5,20150216,,-31.891622,116.767823
626,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,626,West Daly Regional Council,Operational,West Daly (R),,Wadeye,Northern Territory,1,20141213,,-14.2414929939999,129.52077936
